CONTEST,FIELD,DISTRICT_TYPE,DISTRICT,NAME
ASS01REP01,ASSREP01,ASS,01,Tenessa Audette
ASS01REP02,ASSREP02,ASS,01,Heather Hadwick
ASS02DEM01,ASSDEM01,ASS,02,Chris Rogers
ASS02REP01,ASSREP01,ASS,02,Michael Greer
ASS03DEM01,ASSDEM01,ASS,03,Aaron Draper
ASS03REP01,ASSREP01,ASS,03,Jamie Gallagher*
ASS04DEM01,ASSDEM01,ASS,04,Cecilia M. Aguiar-Curry*
ASS04REP01,ASSREP01,ASS,04,Darren T. Ellis
ASS05DEM01,ASSDEM01,ASS,05,Neva Parker
ASS05REP01,ASSREP01,ASS,05,Joe Patterson*
ASS06DEM01,ASSDEM01,ASS,06,Maggy Krell
ASS06REP01,ASSREP01,ASS,06,Nikki Ellis
ASS07DEM01,ASSDEM01,ASS,07,Porsche Middleton
ASS07REP01,ASSREP01,ASS,07,Josh Hoover*
ASS08REP01,ASSREP01,ASS,08,George Radanovich
ASS08REP02,ASSREP02,ASS,08,David J. Tangipa
ASS09AIP01,ASSAIP01,ASS,09,Tami Nobriga
ASS09REP01,ASSREP01,ASS,09,Heath Flora*
ASS10DEM01,ASSDEM01,ASS,10,Stephanie Nguyen*
ASS10REP01,ASSREP01,ASS,10,Vinaya Singh
ASS11DEM01,ASSDEM01,ASS,11,Lori D Wilson*
ASS11REP01,ASSREP01,ASS,11,Dave Ennis
ASS12DEM01,ASSDEM01,ASS,12,Damon Connolly*
ASS12REP01,ASSREP01,ASS,12,Andy Podshadley
ASS13DEM01,ASSDEM01,ASS,13,Rhodesia Ransom
ASS13REP01,ASSREP01,ASS,13,Denise Aguilar Mendez 
ASS14DEM01,ASSDEM01,ASS,14,Margot Smith
ASS14DEM02,ASSDEM02,ASS,14,Buffy Wicks*
ASS15DEM01,ASSDEM01,ASS,15,Anamarie Avila Farias
ASS15REP01,ASSREP01,ASS,15,Sonia Ledo
ASS16DEM01,ASSDEM01,ASS,16,Rebecca Bauer-Kahan*
ASS16REP01,ASSREP01,ASS,16,Joseph A. Rubay
ASS17DEM01,ASSDEM01,ASS,17,Matt Haney*
ASS17REP01,ASSREP01,ASS,17,Manuel Noris-Barrera
ASS18AIP01,ASSAIP01,ASS,18,Andre Sandford
ASS18DEM01,ASSDEM01,ASS,18,Mia Bonta*
ASS19DEM01,ASSDEM01,ASS,19,David E. Lee
ASS19DEM02,ASSDEM02,ASS,19,Catherine Stefani
ASS20DEM01,ASSDEM01,ASS,20,Liz Ortega*
ASS20REP01,ASSREP01,ASS,20,Sangeetha Shanbhogue
ASS21DEM01,ASSDEM01,ASS,21,Diane Papan*
ASS21REP01,ASSREP01,ASS,21,Mark Gilham
ASS22DEM01,ASSDEM01,ASS,22,Jessica Self
ASS22REP01,ASSREP01,ASS,22,Juan Alanis*
ASS23DEM01,ASSDEM01,ASS,23,Marc Berman*
ASS23DEM02,ASSDEM02,ASS,23,Lydia Kou
ASS24DEM01,ASSDEM01,ASS,24,Alex Lee*
ASS24REP01,ASSREP01,ASS,24,Bob Brunton
ASS25DEM01,ASSDEM01,ASS,25,Ash Kalra*
ASS25REP01,ASSREP01,ASS,25,Ted Stroll
ASS26DEM01,ASSDEM01,ASS,26,Patrick Ahrens
ASS26DEM02,ASSDEM02,ASS,26,Tara Sreekrishnan
ASS27DEM01,ASSDEM01,ASS,27,Esmeralda Soria*
ASS27REP01,ASSREP01,ASS,27,Joanna Garcia Rose
ASS28DEM01,ASSDEM01,ASS,28,Gail Pellerin*
ASS28REP01,ASSREP01,ASS,28,Liz Lawler
ASS29DEM01,ASSDEM01,ASS,29,Robert Rivas*
ASS29REP01,ASSREP01,ASS,29,J.W. Paine
ASS30DEM01,ASSDEM01,ASS,30,Dawn Addis*
ASS30REP01,ASSREP01,ASS,30,Dalila Epperson
ASS31DEM01,ASSDEM01,ASS,31,Joaquin Arambula*
ASS31REP01,ASSREP01,ASS,31,Solomon Verduzco
ASS32REP01,ASSREP01,ASS,32,Vince Fong
ASS32REP02,ASSREP02,ASS,32,Ken Weir
ASS33REP01,ASSREP01,ASS,33,Xavier Avila 
ASS33REP02,ASSREP02,ASS,33,Alexandra Macedo
ASS34DEM01,ASSDEM01,ASS,34,Ricardo Ortega
ASS34REP01,ASSREP01,ASS,34,Tom Lackey*
ASS35DEM01,ASSDEM01,ASS,35,Jasmeet Bains*
ASS35REP01,ASSREP01,ASS,35,Robert Rosas
ASS36DEM01,ASSDEM01,ASS,36,Jose Acuna Jr.
ASS36REP01,ASSREP01,ASS,36,Jeff Gonzalez
ASS37DEM01,ASSDEM01,ASS,37,Gregg Hart*
ASS37REP01,ASSREP01,ASS,37,Sari M. Domingues
ASS38DEM01,ASSDEM01,ASS,38,Steve Bennett*
ASS38REP01,ASSREP01,ASS,38,Deborah Baber
ASS39DEM01,ASSDEM01,ASS,39,Juan Carrillo Ventura*
ASS39REP01,ASSREP01,ASS,39,Paul Andre Marsh
ASS40DEM01,ASSDEM01,ASS,40,Pilar Schiavo*
ASS40REP01,ASSREP01,ASS,40,Patrick Lee Gipson
ASS41DEM01,ASSDEM01,ASS,41,John Harabedian
ASS41REP01,ASSREP01,ASS,41,Michelle Del Rosario Martinez
ASS42DEM01,ASSDEM01,ASS,42,Jacqui Irwin*
ASS42REP01,ASSREP01,ASS,42,Ted Nordblum
ASS43DEM01,ASSDEM01,ASS,43,Celeste Rodriguez
ASS43REP01,ASSREP01,ASS,43,Victoria Garcia
ASS44DEM01,ASSDEM01,ASS,44,Nick Schultz
ASS44REP01,ASSREP01,ASS,44,Tony Rodriguez
ASS45DEM01,ASSDEM01,ASS,45,James C. Ramos*
ASS45REP01,ASSREP01,ASS,45,Scott P. Olson
ASS46DEM01,ASSDEM01,ASS,46,Jesse Gabriel*
ASS46REP01,ASSREP01,ASS,46,Tracey Schroeder
ASS47DEM01,ASSDEM01,ASS,47,Christy Holstege
ASS47REP01,ASSREP01,ASS,47,Greg Wallis*
ASS48DEM01,ASSDEM01,ASS,48,Blanca Rubio*
ASS48REP01,ASSREP01,ASS,48,Dan T. Tran
ASS49DEM01,ASSDEM01,ASS,49,Mike Fong*
ASS49REP01,ASSREP01,ASS,49,Long Liu
ASS50DEM01,ASSDEM01,ASS,50,Robert Garcia
ASS50DEM02,ASSDEM02,ASS,50,Adam Perez
ASS51DEM01,ASSDEM01,ASS,51,Rick Chavez Zbur*
ASS51REP01,ASSREP01,ASS,51,Stephan Hohil
ASS52DEM01,ASSDEM01,ASS,52,Jessica Caloza
ASS52DEM02,ASSDEM02,ASS,52,Franky Carrillo
ASS53DEM01,ASSDEM01,ASS,53,Michelle Rodriguez
ASS53REP01,ASSREP01,ASS,53,Nick Wilson
ASS54DEM01,ASSDEM01,ASS,54,Mark Gonzalez
ASS54DEM02,ASSDEM02,ASS,54,John K. Yi
ASS55DEM01,ASSDEM01,ASS,55,Isaac G. Bryan*
ASS55REP01,ASSREP01,ASS,55,Keith G. Cascio
ASS56DEM01,ASSDEM01,ASS,56,Lisa Calderon*
ASS56REP01,ASSREP01,ASS,56,Jessica Martinez
ASS57DEM01,ASSDEM01,ASS,57,Sade Elhawary
ASS57DEM02,ASSDEM02,ASS,57,Efren Martinez
ASS58DEM01,ASSDEM01,ASS,58,Clarissa Cervantes
ASS58REP01,ASSREP01,ASS,58,Leticia Castillo
ASS59DEM01,ASSDEM01,ASS,59,Dave Obrand
ASS59REP01,ASSREP01,ASS,59,Phillip Chen*
ASS60DEM01,ASSDEM01,ASS,60,Corey A Jackson*
ASS60REP01,ASSREP01,ASS,60,Ron Edwards
ASS61DEM01,ASSDEM01,ASS,61,Tina Simone McKinnor*
ASS61REP01,ASSREP01,ASS,61,Alfonso Hernandez
ASS62DEM01,ASSDEM01,ASS,62,Jose Luis Solache
ASS62REP01,ASSREP01,ASS,62,Paul Jones
ASS63DEM01,ASSDEM01,ASS,63,Chris Shoults
ASS63REP01,ASSREP01,ASS,63,Bill Essayli*
ASS64DEM01,ASSDEM01,ASS,64,Blanca Pacheco*
ASS64REP01,ASSREP01,ASS,64,Raul Ortiz Jr.
ASS65DEM01,ASSDEM01,ASS,65,Mike Gipson*
ASS65REP01,ASSREP01,ASS,65,Lydia A Gutierrez
ASS66DEM01,ASSDEM01,ASS,66,Al Muratsuchi*
ASS66REP01,ASSREP01,ASS,66,George Barks
ASS67DEM01,ASSDEM01,ASS,67,Sharon Quirk-Silva*
ASS67REP01,ASSREP01,ASS,67,Elizabeth Culver
ASS68DEM01,ASSDEM01,ASS,68,Avelino Valencia*
ASS68REP01,ASSREP01,ASS,68,Mike Tardif
ASS69DEM01,ASSDEM01,ASS,69,Josh Lowenthal*
ASS69REP01,ASSREP01,ASS,69,Joshua Rodriguez
ASS70DEM01,ASSDEM01,ASS,70,Jimmy D. Pham
ASS70REP01,ASSREP01,ASS,70,Tri Ta*
ASS71DEM01,ASSDEM01,ASS,71,Gary Kephart
ASS71REP01,ASSREP01,ASS,71,Kate Sanchez*
ASS72DEM01,ASSDEM01,ASS,72,Dom Jones
ASS72REP01,ASSREP01,ASS,72,Diane Dixon*
ASS73DEM01,ASSDEM01,ASS,73,Cottie Petrie-Norris*
ASS73REP01,ASSREP01,ASS,73,Scotty Peotter
ASS74DEM01,ASSDEM01,ASS,74,Chris Duncan
ASS74REP01,ASSREP01,ASS,74,Laurie Davies*
ASS75REP01,ASSREP01,ASS,75,Carl DeMaio
ASS75REP02,ASSREP02,ASS,75,Andrew Hayes
ASS76DEM01,ASSDEM01,ASS,76,Darshana Patel
ASS76REP01,ASSREP01,ASS,76,Kristie Bruce-Lane
ASS77DEM01,ASSDEM01,ASS,77,Tasha Boerner*
ASS77REP01,ASSREP01,ASS,77,James Browne
ASS78DEM01,ASSDEM01,ASS,78,Chris Ward*
ASS79DEM01,ASSDEM01,ASS,79,Colin Parent
ASS79DEM02,ASSDEM02,ASS,79,LaShae Sharp-Collins
ASS80DEM01,ASSDEM01,ASS,80,David A. Alvarez*
ASS80REP01,ASSREP01,ASS,80,Michael W. Williams
CNG01DEM01,CNGDEM01,CNG,01,Rose Penelope Yee
CNG01REP01,CNGREP01,CNG,01,Doug LaMalfa*
CNG02DEM01,CNGDEM01,CNG,02,Jared Huffman*
CNG02REP01,CNGREP01,CNG,02,Chris Coulombe
CNG03DEM01,CNGDEM01,CNG,03,Jessica Morse
CNG03REP01,CNGREP01,CNG,03,Kevin Kiley*
CNG04DEM01,CNGDEM01,CNG,04,Mike Thompson*
CNG04REP01,CNGREP01,CNG,04,John Munn
CNG05DEM01,CNGDEM01,CNG,05,Michael J. Barkley
CNG05REP01,CNGREP01,CNG,05,Tom McClintock*
CNG06DEM01,CNGDEM01,CNG,06,Ami Bera*
CNG06REP01,CNGREP01,CNG,06,Christine Bish
CNG07DEM01,CNGDEM01,CNG,07,Doris Matsui*
CNG07REP01,CNGREP01,CNG,07,Tom Silva
CNG08DEM01,CNGDEM01,CNG,08,John Garamendi*
CNG08REP01,CNGREP01,CNG,08,Rudy Recile
CNG09DEM01,CNGDEM01,CNG,09,Josh Harder*
CNG09REP01,CNGREP01,CNG,09,Kevin Lincoln
CNG10DEM01,CNGDEM01,CNG,10,Mark DeSaulnier*
CNG10REP01,CNGREP01,CNG,10,Katherine Piccinini
CNG11DEM01,CNGDEM01,CNG,11,Nancy Pelosi*
CNG11REP01,CNGREP01,CNG,11,Bruce Lou
CNG12DEM01,CNGDEM01,CNG,12,Lateefah Simon
CNG12DEM02,CNGDEM02,CNG,12,Jennifer Tran
CNG13DEM01,CNGDEM01,CNG,13,Adam Gray
CNG13REP01,CNGREP01,CNG,13,John Duarte*
CNG14DEM01,CNGDEM01,CNG,14,Eric Swalwell*
CNG14REP01,CNGREP01,CNG,14,Vin Kruttiventi
CNG15DEM01,CNGDEM01,CNG,15,Kevin Mullin*
CNG15REP01,CNGREP01,CNG,15,Anna Cheng Kramer
CNG16DEM01,CNGDEM01,CNG,16,Sam Liccardo
CNG16DEM02,CNGDEM02,CNG,16,Evan Low
CNG17DEM01,CNGDEM01,CNG,17,Ro Khanna*
CNG17REP01,CNGREP01,CNG,17,Anita Chen
CNG18DEM01,CNGDEM01,CNG,18,Zoe Lofgren*
CNG18REP01,CNGREP01,CNG,18,Peter D. Hernandez
CNG19DEM01,CNGDEM01,CNG,19,Jimmy Panetta*
CNG19REP01,CNGREP01,CNG,19,Jason Michael Anderson
CNG20REP01,CNGREP01,CNG,20,Mike Boudreaux
CNG20REP02,CNGREP02,CNG,20,Vince Fong*
CNG21DEM01,CNGDEM01,CNG,21,Jim Costa*
CNG21REP01,CNGREP01,CNG,21,Michael Maher
CNG22DEM01,CNGDEM01,CNG,22,Rudy Salas
CNG22REP01,CNGREP01,CNG,22,David G. Valadao*
CNG23DEM01,CNGDEM01,CNG,23,Derek Marshall
CNG23REP01,CNGREP01,CNG,23,Jay Obernolte*
CNG24DEM01,CNGDEM01,CNG,24,Salud Carbajal*
CNG24REP01,CNGREP01,CNG,24,Thomas Cole
CNG25DEM01,CNGDEM01,CNG,25,Raul Ruiz*
CNG25REP01,CNGREP01,CNG,25,Ian M. Weeks
CNG26DEM01,CNGDEM01,CNG,26,Julia Brownley*
CNG26REP01,CNGREP01,CNG,26,Michael Koslow
CNG27DEM01,CNGDEM01,CNG,27,George Whitesides
CNG27REP01,CNGREP01,CNG,27,Mike Garcia*
CNG28DEM01,CNGDEM01,CNG,28,Judy Chu*
CNG28REP01,CNGREP01,CNG,28,April A. Verlato
CNG29DEM01,CNGDEM01,CNG,29,Luz Maria Rivas
CNG29REP01,CNGREP01,CNG,29,Benito Benny Bernal
CNG30DEM01,CNGDEM01,CNG,30,Laura Friedman
CNG30REP01,CNGREP01,CNG,30,Alex Balekian
CNG31DEM01,CNGDEM01,CNG,31,Gil Cisneros
CNG31REP01,CNGREP01,CNG,31,Daniel Jose Bocic Martinez
CNG32DEM01,CNGDEM01,CNG,32,Brad Sherman*
CNG32REP01,CNGREP01,CNG,32,Larry Thompson
CNG33DEM01,CNGDEM01,CNG,33,Pete Aguilar*
CNG33REP01,CNGREP01,CNG,33,Tom Herman
CNG34DEM01,CNGDEM01,CNG,34,Jimmy Gomez*
CNG34DEM02,CNGDEM02,CNG,34,David Kim
CNG35DEM01,CNGDEM01,CNG,35,Norma J. Torres*
CNG35REP01,CNGREP01,CNG,35,Mike Cargile
CNG36DEM01,CNGDEM01,CNG,36,Ted W. Lieu*
CNG36REP01,CNGREP01,CNG,36,Melissa Toomim
CNG37DEM01,CNGDEM01,CNG,37,Sydney Kamlager-Dove*
CNG37IND01,CNGIND01,CNG,37,Juan Rey
CNG38DEM01,CNGDEM01,CNG,38,Linda T. Sanchez*
CNG38REP01,CNGREP01,CNG,38,Eric J. Ching
CNG39DEM01,CNGDEM01,CNG,39,Mark Takano*
CNG39REP01,CNGREP01,CNG,39,David Serpa
CNG40DEM01,CNGDEM01,CNG,40,Joe Kerr
CNG40REP01,CNGREP01,CNG,40,Young Kim*
CNG41DEM01,CNGDEM01,CNG,41,Will Rollins
CNG41REP01,CNGREP01,CNG,41,Ken Calvert*
CNG42DEM01,CNGDEM01,CNG,42,Robert Garcia*
CNG42REP01,CNGREP01,CNG,42,John Briscoe
CNG43DEM01,CNGDEM01,CNG,43,Maxine Waters*
CNG43REP01,CNGREP01,CNG,43,Steve Williams
CNG44DEM01,CNGDEM01,CNG,44,Nanette Diaz Barragan*
CNG44REP01,CNGREP01,CNG,44,Roger Groh
CNG45DEM01,CNGDEM01,CNG,45,Derek Tran
CNG45REP01,CNGREP01,CNG,45,Michelle Steel*
CNG46DEM01,CNGDEM01,CNG,46,Lou Correa*
CNG46REP01,CNGREP01,CNG,46,David Pan
CNG47DEM01,CNGDEM01,CNG,47,Dave Min
CNG47REP01,CNGREP01,CNG,47,Scott Baugh
CNG48DEM01,CNGDEM01,CNG,48,Stephen Houlahan
CNG48REP01,CNGREP01,CNG,48,Darrell E. Issa*
CNG49DEM01,CNGDEM01,CNG,49,Mike Levin*
CNG49REP01,CNGREP01,CNG,49,Matt Gunderson
CNG50DEM01,CNGDEM01,CNG,50,Scott Peters*
CNG50REP01,CNGREP01,CNG,50,Peter J. Bono
CNG51DEM01,CNGDEM01,CNG,51,Sara Jacobs*
CNG51REP01,CNGREP01,CNG,51,Bill Wells
CNG52DEM01,CNGDEM01,CNG,52,Juan Vargas*
CNG52REP01,CNGREP01,CNG,52,Justin Lee
PRSAIP01,,,,Robert F. Kennedy Jr.
PRSDEM01,,,,Kamala D. Harris
PRSGRN01,,,,Jill Stein
PRSLIB01,,,,Chase Oliver
PRSPAF01,,,,Claudia De la Cruz
PRSREP01,,,,Donald J. Trump
SEN01REP01,SENREP01,SEN,01,Megan Dahle
SEN01REP02,SENREP02,SEN,01,David Fennell
SEN03DEM01,SENDEM01,SEN,03,Christopher Cabaldon
SEN03REP01,SENREP01,SEN,03,Thom Bogue
SEN05DEM01,SENDEM01,SEN,05,Jerry McNerney
SEN05REP01,SENREP01,SEN,05,Jim Shoemaker
SEN07DEM01,SENDEM01,SEN,07,Jesse Arreguin
SEN07DEM02,SENDEM02,SEN,07,Jovanka Beckles
SEN09DEM01,SENDEM01,SEN,09,Tim Grayson
SEN09DEM02,SENDEM02,SEN,09,Marisol Rubio
SEN11DEM01,SENDEM01,SEN,11,Scott Wiener*
SEN11REP01,SENREP01,SEN,11,Yvette Corkrean
SEN13DEM01,SENDEM01,SEN,13,Josh Becker*
SEN13REP01,SENREP01,SEN,13,Alexander Glew
SEN15DEM01,SENDEM01,SEN,15,Dave Cortese*
SEN15REP01,SENREP01,SEN,15,Robert Paul Howell
SEN17DEM01,SENDEM01,SEN,17,John Laird*
SEN17REP01,SENREP01,SEN,17,Tony Virrueta
SEN19DEM01,SENDEM01,SEN,19,Lisa Middleton
SEN19REP01,SENREP01,SEN,19,Rosilicie Ochoa Bogh*
SEN21DEM01,SENDEM01,SEN,21,S. Monique Limon*
SEN21REP01,SENREP01,SEN,21,Elijah Mack
SEN23DEM01,SENDEM01,SEN,23,Kipp Mueller
SEN23REP01,SENREP01,SEN,23,Suzette Martinez Valladares
SEN25DEM01,SENDEM01,SEN,25,Sasha Renee Perez
SEN25REP01,SENREP01,SEN,25,Elizabeth Wong Ahlers
SEN27DEM01,SENDEM01,SEN,27,Henry Stern*
SEN27REP01,SENREP01,SEN,27,Lucie Volotzky
SEN29DEM01,SENDEM01,SEN,29,Eloise Gomez Reyes
SEN29REP01,SENREP01,SEN,29,Carlos A. Garcia
SEN31DEM01,SENDEM01,SEN,31,Sabrina Cervantes
SEN31REP01,SENREP01,SEN,31,Cynthia Navarro
SEN33DEM01,SENDEM01,SEN,33,Lena A. Gonzalez*
SEN33REP01,SENREP01,SEN,33,Mario Paz
SEN35DEM01,SENDEM01,SEN,35,Michelle Chambers
SEN35DEM02,SENDEM02,SEN,35,Laura Richardson
SEN37DEM01,SENDEM01,SEN,37,Josh Newman*
SEN37REP01,SENREP01,SEN,37,Steven Steve Choi
SEN39DEM01,SENDEM01,SEN,39,Akilah Weber
SEN39REP01,SENREP01,SEN,39,Bob Divine
USPDEM01,,,,Adam B. Schiff
USPREP01,,,,Steve Garvey
USSDEM01,,,,Adam B. Schiff
USSREP01,,,,Steve Garvey
